Time	CFP	YFP	
Seconds	mV	mV	
			
643	2087,94	3815,74
644	2075,73	3837,72
645	2072,47	3812,49
646	2209,81	3863,15
647	2116,52	3873,83
648	2084,48	3846,26
649	2065,35	3840,57
650	2190,89	3863,56
651	2150,81	3786,24
652	2151,01	3770,78
653	2100,55	3847,89
654	2165,05	3760,30
655	2169,32	3796,01
656	2179,09	3826,93
657	2130,66	3818,80
658	2196,38	3825,31
659	2201,27	3827,95
660	2163,42	3843,82
661	2172,98	3862,54
662	2108,89	3918,09
663	2130,87	3838,53
664	2108,69	3839,96
665	2088,75	3869,25
666	2145,92	3849,93
667	2105,64	3847,69
668	2205,95	3871,70
669	2132,29	3903,03
670	2105,43	3859,90
671	2078,58	3844,84
672	2101,98	3876,78
673	2164,24	3849,11
674	2108,28	3846,26
675	2049,69	3915,64
676	2106,86	3792,96
677	2181,73	3836,50
678	2190,07	3825,71
679	2181,12	3866,81
680	2218,76	3788,07
681	2184,58	3776,07
682	2156,20	3833,55
683	2160,78	3752,67
684	2183,36	3808,01
685	2123,75	3822,87
686	2166,88	3791,13
687	2205,95	3745,96
688	2183,97	3763,35
689	2158,54	3812,29
690	2183,56	3761,01
691	2125,58	3791,53
692	2172,78	3757,55
693	2145,31	3792,75
694	2112,15	3808,42
695	2219,98	3771,59
696	2253,56	3787,46
697	2252,74	3770,78
698	2268,61	3713,20
699	2251,93	3761,22
700	2231,38	3786,65
701	2207,78	3718,49
702	2188,24	3786,55
703	2252,74	3792,55
704	2214,90	3741,28
705	2209,61	3741,07
706	2247,66	3710,96
707	2271,05	3713,61
708	2197,60	3748,40
709	2199,84	3776,78
710	2189,46	3787,67
711	2268,61	3743,51
712	2239,92	3750,23
713	2252,13	3717,47
714	2178,48	3723,78
715	2198,42	3786,04
716	2143,08	3751,45
717	2199,84	3725,20
718	2232,19	3743,11
719	2231,17	3760,00
720	2209,61	3787,26
721	2184,58	3806,79
722	2190,69	3730,70
723	2193,74	3778,92
724	2236,46	3780,54
725	2206,76	3770,17
726	2232,80	3724,59
727	2233,21	3733,54
728	2188,45	3754,09
729	2196,79	3805,77
730	2191,30	3791,53
731	2215,10	3784,82
732	2220,19	3793,57
733	2184,17	3748,60
734	2196,38	3760,81
735	2245,82	3725,81
736	2225,48	3769,76
737	2211,64	3687,56
738	2258,85	3733,14
739	2246,23	3730,29
740	2240,13	3697,13
741	2133,51	3658,67
742	2180,31	3725,00
743	2412,87	3734,66
744	2293,64	3731,10
745	2257,62	3670,67
746	2237,48	3741,48
747	2207,78	3747,58
748	2252,95	3766,71
749	2224,66	3706,08
750	2209,91	3638,22
751	2190,69	3752,06
752	2288,96	3801,50
753	2235,24	3712,59
754	2311,95	3694,48
755	2162,40	3707,71
756	2159,56	3694,99
757	2296,49	3688,38
758	2289,16	3710,55
759	2198,62	3692,24
760	2352,24	3735,17
761	2331,89	3719,10
762	2173,59	3713,61
763	2267,59	3714,22
764	2254,78	3723,68
765	2206,35	3721,54
766	2262,10	3722,15
767	2253,35	3761,83
768	2252,33	3844,03
769	2185,60	3735,58
770	2171,15	3746,26
771	2187,43	3739,85
772	2242,16	3815,74
773	2234,02	3825,92
774	2301,98	3878,00
775	2336,77	3904,25
776	2227,51	3838,33
777	2247,45	3878,72
778	2264,95	3904,05
779	2290,79	3931,92
780	2241,55	4017,78
781	2052,33	4159,60
782	2013,27	4175,47
783	2071,86	4176,89
784	2057,62	4114,63
785	2067,79	4077,19
786	2101,57	4000,28
787	2095,46	3955,73
788	2119,88	3993,16
789	2124,97	3973,22
790	2110,32	3939,65
791	2103,40	3988,89
792	2153,86	3931,72
793	2191,09	3946,37
794	2182,34	3915,64
795	2217,14	3959,19
796	2177,87	3987,87
797	2177,56	3977,90
798	2166,07	3972,21
799	2169,93	3941,89
800	2193,74	3942,91
801	2178,88	4000,49
802	2196,79	3961,42
803	2219,17	3899,57
804	2150,60	3891,84
805	2236,46	3882,99
806	2276,34	3896,11
807	2307,68	3873,93
808	2252,95	3787,67
809	2226,29	3721,74
810	2480,82	3835,68
811	2456,20	3669,66
812	2411,44	3615,74
813	2451,52	3599,87
814	2453,36	3552,67
815	2490,18	3441,37
816	2514,60	3452,16
817	2514,80	3482,27
818	2540,74	3358,97
819	2515,01	3439,74
820	2520,91	3424,69
821	2531,69	3455,82
822	2510,53	3507,50
823	2427,72	3475,76
824	2446,85	3471,28
825	2443,39	3467,62
826	2480,21	3495,29
827	2524,36	3475,55
828	2564,65	3515,64
829	2466,38	3543,31
830	2462,10	3559,18
831	2500,56	3600,28
832	2401,88	3572,61
833	2425,07	3593,77
834	2429,75	3606,58
835	2390,08	3581,15
836	2421,21	3620,42
837	2331,48	3626,12
838	2400,35	3638,83
839	2444,61	3637,31
840	2452,14	3625,30
841	2353,05	3686,75
842	2361,80	3650,74
843	2292,42	3685,12
844	2326,19	3681,05
845	2351,22	3624,79
846	2258,03	3666,61
847	2275,33	3700,99
848	2276,34	3745,35
849	2310,93	3752,06
